N,P_tail_p=0.01,P_tail_p=0.05,P_tail_p=0.1,P_tail_p=0.2,P_tail_p=0.3
37,6.727951529228449e-14,1.2395318428337632e-06,0.0007203210835989848,0.10464618586388696,0.575925516485614
38,9.381384558082573e-14,1.6653247667530735e-06,0.000922874141585317,0.12189465875365191,0.6164737493224877
39,1.2956302697375577e-13,2.2142935008906406e-06,0.001170278233840083,0.14062157217682536,0.6549945705175177
40,1.7708057242771247e-13,2.9156483835057756e-06,0.0014697224972242129,0.16076914799761877,0.6912572746080117
41,2.396971510165713e-13,3.8040312350107186e-06,0.0018290556132852798,0.18225989553979827,0.7251024650924726
42,3.218536548388329e-13,4.920241301498152e-06,0.00225677793530632,0.20499849293926609,0.7564365607990542
43,4.285460875053104e-13,6.312015728315856e-06,0.0027620249281936626,0.22887402020870695,0.785224761229476
44,5.661027202563673e-13,8.034863768657807e-06,0.0033545418562159757,0.25376244863503294,0.8114830895008607
45,7.424061365668422e-13,1.015295341832978e-05,0.004044649807677381,0.2795292921822884,0.8352700456996446
46,9.668932321460488e-13,1.2740048633164136e-05,0.004843203294368492,0.3060323312594653,0.85667830627855
47,1.2507772595427014e-12,1.588049476908271e-05,0.005761539804063132,0.3331243267605799,0.875826806018571
48,1.6077139619596892e-12,1.9670249362779835e-05,0.006811421813795238,0.36065565191846904,0.8928534449765897
49,2.0541346401614646e-12,2.4217954875171976e-05,0.008004971888016854,0.38847678049907275,0.9079085783710482
50,2.609468197078968e-12,2.9646049531706353e-05,0.009354601587329037,0.4164405815339338,0.9211493751769438
51,3.29669624932194e-12,3.609191193632011e-05,0.010872934999055284,0.4444043825687978,0.9327350723821025
52,4.142908238691234e-12,4.370903470474197e-05,0.012572727769743941,0.4722317748181242,0.942823106290009
53,5.180189610598518e-12,5.266822196081655e-05,0.014466782571368464,0.49979414428412383,0.9515660690101946
54,6.445843858671196e-12,6.315880517815398e-05,0.01656786196758908,0.526971922548275,0.959109415915285
55,7.9836137700795e-12,7.538987152022614e-05,0.018888599664323658,0.5536555593894353,0.9655898366655671
56,9.844458581653726e-12,8.95914985507007e-05,0.021441411130731836,0.5797462265230185,0.9711341966408086
57,1.208699806909408e-11,0.0001060159889424428,0.02423840456349191,0.6051562675574649,0.9758589555762317
58,1.477962197071747e-11,0.0001249390986173271,0.02729129314010037,0.6298094137525873,0.9798699743320483
59,1.8000601009759976e-11,0.0001466612515981236,0.030611309467162173,0.6536407884078723,0.9832626276963432
60,2.1840196318123617e-11,0.00017150873475280104,0.03420912307873303,0.6765967248105139,0.9861221498176775
61,2.6401547614796073e-11,0.0001998348655490867,0.03809476177922977,0.6986344237570502,0.9885241483995983
62,3.180278262959746e-11,0.00023202112593423418,0.04227753755682295,0.719721476866677,0.9905352334868144
63,3.817823834850742e-11,0.00026847825548592663,0.04676597771816371,0.7398352813712439,0.9922137160403754
64,4.5680903504319303e-11,0.0003096472970645081,0.0515677618152961,0.7589623709378512,0.9936103402028668
65,5.4484083911177095e-11,0.00035600058832341297,0.05668966485223714,0.7770976854898934,0.9947690209895264
66,6.478362291062467e-11,0.00040804269260052983,0.06213750717334732,0.7942438010663699,0.9957275660039446
67,7.680112101837722e-11,0.0004663112629249566,0.06791611134966757,0.8104101386099049,0.9965183656408398
68,9.078571228116061e-11,0.0005313778331206276,0.07402926629409079,0.8256121682999658,0.9971690411315483
69,1.0701739494578533e-10,0.0006038485302696239,0.08047969875268901,0.8398706237334022,0.9977030437756469
70,1.2581047315052274e-10,0.0006843647031190558,0.08726905223877268,0.8532107379694308,0.9981402018724259
71,1.4751644350496917e-10,0.0007736034613604614,0.09439787339916084,0.865661511256391,0.9984972143181289
72,1.7252810291523701e-10,0.0008722781210881436,0.10186560572946901,0.8772550181858881,0.9987880916714311
73,2.0128343436454088e-10,0.0009811385521424354,0.10967059048759742,0.8880257601074857,0.9990245468102444
74,2.342699367829937e-10,0.0011009714234697654,0.11781007459250281,0.898010066904649,0.9992163382006154
75,2.720290659397051e-10,0.0012326003430682686,0.12628022523917037,0.9072455506920252,0.9993715693571967
76,3.1516178555790475e-10,0.0013768858895513159,0.13507615091070957,0.915770612649603,0.9994969483682817
77,3.643330082070406e-10,0.0015347255328251874,0.14419192842484863,0.9236240030590082,0.9995980114499442
78,4.2027803459632196e-10,0.001707053441862283,0.1536206356148474,0.9308444336443717,0.9996793144365353
79,4.838086598013547e-10,0.001894840178033541,0.1633543892139354,0.93747024053447,0.9997445959522394
80,5.558191684684743e-10,0.0020990922729560157,0.17338438748777796,0.9435390955410529,0.999796915775695
81,6.372939953536161e-10,0.002320851690300496,0.18370095714087253,0.9490877629756428,0.9998387716344594
82,7.293146087050673e-10,0.0025611951714927805,0.19429360401003604,0.9541518988877756,0.9998721973695572
83,8.330678369361522e-10,0.0028212334657272686,0.205151067050929,0.9587658893854967,0.9998988451083713
84,9.498541952979167e-10,0.0031021104451846027,0.21626137512153998,0.9629627245779443,0.9999200537881672
85,1.0810968786856279e-09,0.0034050021068157132,0.22761190606935422,0.9667739046445994,0.9999369060904915
86,1.2283510875121806e-09,0.0037311154625051524,0.23918944763612537,0.9702293745717,0.9999502755836688
87,1.3933145748268316e-09,0.004081687319871352,0.25098025970544136,0.9733574841899175,0.9999608656295802
88,1.5778379713893287e-09,0.00445798295638189,0.2629701374330713,0.9761849702863842,0.9999692413931648
89,1.7839364430116689e-09,0.0048612946898726195,0.27514447481804893,0.9787369577375541,0.9999758560987648
90,2.0138014589221598e-09,0.00529294034894412,0.2874883282931969,0.9810369768074693,0.9999810725058393
91,2.269813670352505e-09,0.005754261647076819,0.2999864799367842,0.9831069939703929,0.9999851804264105
92,2.5545560111694954e-09,0.0062466224646516855,0.3126234999319679,0.9849674538402798,0.9999884109762918
93,2.870828463841235e-09,0.00677140704338397,0.3253838079271041,0.9866373300161784,0.9999909481398571
94,3.2216622702918585e-09,0.007330018097974289,0.3382517329776209,0.9881341828774657,0.9999929381320029
95,3.6103359191130835e-09,0.007923874850056523,0.3512115717784986,0.9894742225818562,0.9999944969591837
96,4.040391909931884e-09,0.008554410989767502,0.36424764492526307,0.9906723757293113,0.9999957165122135
97,4.5156538508450694e-09,0.00922307257048427,0.37734435097038577,0.9917423543540155,0.9999966694652785
98,5.040244666076887e-09,0.009931315842473198,0.39048621807083594,0.992696726092832,0.9999974132068087
99,5.618606024881956e-09,0.01068060503136159,0.40365795305105934,0.9935469845510503,0.9999979929871379
100,6.255518436582008e-09,0.011472410067484673,0.41684448773350813,0.9943036190442064,0.9999984444340683
101,6.956121900714152e-09,0.012308204272281298,0.43003102241595603,0.994976183038123,0.9999987955594587
102,7.725938999669779e-09,0.013189462007998087,0.44320306640095253,0.9955733607382159,0.9999990683568774
103,8.570896881110457e-09,0.014117656297030212,0.45634647550772,0.9961030313939505,0.9999992800713957
104,9.497352349008281e-09,0.015094256417264695,0.4694474865205953,0.9965723309856982,0.99999944420706
105,1.051211673264163e-08,0.016120725479808806,0.48249274855043534,0.9969877110498833,0.9999995713248936
106,1.1622482531947753e-08,0.017198517995480334,0.4954693513064353,0.9973549944750575,0.9999996696739544
107,1.283625117309839e-08,0.018329077436398222,0.5083648502952107,0.9976794281672948,0.9999997456895825
108,1.4161761652253801e-08,0.019513833798968316,0.5211672889820043,0.997965732539001,0.9999998043861862
109,1.5607920733629044e-08,0.02075420117447535,0.533865217965233,0.9982181478218115,0.9999998496664232
110,1.7184233924716352e-08,0.022051575333402185,0.5464477112304285,0.9984404772426304,0.9999998845642221
111,1.890083911604279e-08,0.023407331329480807,0.5589043795629753,0.998636127132951,0.9999999114355272
112,2.0768539554794074e-08,0.024822821129346972,0.5712253812107124,0.998808144066223,0.9999999321078086
113,2.2798839816040584e-08,0.026299371273521,0.5834014298978878,0.9989592491370187,0.9999999479970914
114,2.500398232907486e-08,0.027838280574269625,0.5954238003006622,0.9990918695098336,0.9999999601994436
115,2.7396986124195166e-08,0.029440817855722057,0.6072843311018608,0.9992081673752252,0.9999999695624022
116,2.9991685912555965e-08,0.031108219741423748,0.618975425748756,0.9993100664572826,0.9999999767406706
117,3.2802773941575936e-08,0.03284168849429481,0.6304900510424909,0.9993992762196876,0.999999982239495
118,3.5845842294435215e-08,0.03464238991374924,0.6418217336913722,0.9994773139183895,0.9999999864484083
119,3.91374279651302e-08,0.03651145129449773,0.652964554962772,0.9995455246476251,0.9999999896674475
120,4.2695058266595254e-08,0.03844995945131979,0.6639131435698078,0.9996050995230678,0.9999999921275022
121,4.653729901438197e-08,0.04045895881384465,0.674662666929443,0.9996570921416358,0.9999999940060895
122,5.068380370953918e-08,0.0425394495951259,0.6852088209282203,0.999702433452243,0.9999999954395701
123,5.5155364830916653e-08,0.04469238603754111,0.6955478183305931,0.999741945165772,0.999999996532599
124,5.997396645973652e-08,0.04691867473927758,0.7056763759628288,0.9997763518260486,0.999999997365429
125,6.516283967972214e-08,0.049219173064405375,0.7155917008028074,0.9998062916567455,0.9999999979995486
126,7.074651831029399e-08,0.051594687639265224,0.7252914751027861,0.999832326292134,0.999999998482031
127,7.675089841452376e-08,0.05404597293763369,0.7347738406684551,0.9998549494925406,0.999999998848884
128,8.320329758504386e-08,0.05657372995684884,0.7440373824133779,0.9998745949383638,0.9999999991276296
129,9.013251811573753e-08,0.059178604986819816,0.7530811113033364,0.9998916431896545,0.9999999993392872
130,9.756891095058506e-08,0.06186118847356692,0.7619044468001783,0.9999064278916141,0.999999999499898
